1,1,9,28
1,2,9,22
1,3,10,28
1,4,10,22
1,5,11,28
1,6,11,22
1,7,13,28
1,8,13,22
1,9,14,28
1,10,14,22
1,11,15,28
1,12,15,22
1,13,9,25
1,14,9,25
1,15,10,25
1,16,10,25
1,17,11,25
1,18,11,25
1,19,13,25
1,20,13,25
1,21,14,25
1,22,14,25
1,23,15,25
1,24,15,25
1,25,9,17
1,26,9,22
1,27,9,11
1,28,10,17
1,29,10,22
1,30,10,11
1,31,11,17
1,32,11,22
1,33,11,11
1,34,13,17
1,35,13,22
1,36,13,11
1,37,14,17
1,38,14,22
1,39,14,11
1,40,15,17
1,41,15,22
1,42,15,11
1,43,6,16
1,44,6,16
1,45,6,15
1,46,7,16
1,47,7,16
1,48,7,15
1,49,8,16
1,50,8,16
1,51,8,15
1,52,12,16
1,53,12,16
1,54,12,15
1,55,16,16
1,56,16,16
1,57,16,15
1,58,6,24
1,59,7,24
1,60,8,24
1,61,12,24
1,62,16,24
